# p q x y e
2261564242916331941866620800950935700259179388000792266395655937654553313279 296270142771622455917942035243962442131138801005017823744104977426442079290723 429285874286400280477994953960741661214318486611745745548376036428833470407456 -1026615391160084018950868755088557868189 259
2261564242916331941866620800950935700259179388000792266395655937654553313279 288092697602127215115963721853453214373133814183524237700947732648708092623373 242667886017393870579388197790517934058721694772922599708465287844695745913796 7434054900768186765446433530307846822251 259
2261564242916331941866620800950935700259179388000792266395655937654553313279 282414796697856026813953564889858097357771973094106413280853795631926266256099 417049112758497415313540067219684120534606044617043973670814120614757150821900 -1871731339488879095857547858310396495003 259
2261564242916331941866620800950935700259179388000792266395655937654553313279 143853354671074945397144626543361211860176389447257325482854790214309742764769 243386608300809848653855826811768314073128535011564434927819618098676387456056 -4855839088115751950562016267062327547135 259
2261564242916331941866620800950935700259179388000792266395655937654553313279 131851095567768325123791542822555399828312415685865470579955777419892172794963 273914332743751475916918882922717393198513435075194948727410432773098254781188 3625388473045105491792415174525786200117 259
2261564242916331941866620800950935700259179388000792266395655937654553313279 184628253953569097568120962284170241513264027745737038703497273632207568371875 257000944595770090218524595037509801723962824268955279888583029044354782429040 -5598744317095422218336768399284161011235 259
2261564242916331941866620800950935700259179388000792266395655937654553313279 10674437012606766240109009448532103369579522541790214901665825168739826533113 94315596247423938870579839748109722811009997821367352817378491697202650009580 623343754405981298269138751312392001055 259
2261564242916331941866620800950935700259179388000792266395655937654553313279 149626469633072501051692542335166349632629547353089447827576437685008874111019 33934053661589011717920592158626265043994276486466433807829997221278316444544 -7132913413832755810723028186697735938005 259
2261564242916331941866620800950935700259179388000792266395655937654553313279 129528038383789486979289681185120605728321696339326568681280744241533913890983 320369060815910119892528966357228502290813051014111425738068583658108622597724 -503234424349837009711041408385392561921 259
2261564242916331941866620800950935700259179388000792266395655937654553313279 155665762297703810001763902460642543153687083869719962783965628994680077572645 344551158036524318743113034193096998207468830980819408475070209692508014569552 743917811098788940301859034897427125083 259
2261564242916331941866620800950935700259179388000792266395655937654553313279 31714939496950526382543043174079613127308293849755098346872356140934438497575 135376876556666374026458154671461143097463326896229185892343580452657139673128 -2107616644497545934003815559292514998023 259
2261564242916331941866620800950935700259179388000792266395655937654553313279 290726941855924850267299925307651866665817049106290845859798583225256392345255 375544297828831102703366165937976500242608549267131767615061494741026069700676 4398566821601413441905079119793464232321 259
2261564242916331941866620800950935700259179388000792266395655937654553313279 219635474183899187961591128500971521546617986769310998402334185915251052222943 335492718309515113308018247714511167080270561127718354639429647568318923908936 4343227387835455547299132827224556690879 259
2261564242916331941866620800950935700259179388000792266395655937654553313279 331083083681824553988311858948006260774856297144995124367977119820411006196013 364160174978352326315129647314207356304688293308148676684490105082186181406784 -5339002664456393062005158680846302789331 259
2261564242916331941866620800950935700259179388000792266395655937654553313279 402827818793201173810342925354377325309595829292915175059857241824389211425133 167833780746544326929851854668841299194205677523464659172389583443389759955916 8988423981755023778164010688853421403189 259
2261564242916331941866620800950935700259179388000792266395655937654553313279 53224998730828093330751371740448449684066223718895950910129697835395567042219 196238478347534221966565482702707505081475842887940959615683401662075922767360 1876298681270997583297827028933227429547 259
2261564242916331941866620800950935700259179388000792266395655937654553313279 197155510546402023203625016074020060992455688562801048441914760776218696294225 378696377868559459961770384840343204419527822459558149623352251853387381534064 394039069750867236533017500396816539601 259
2261564242916331941866620800950935700259179388000792266395655937654553313279 5618809236102550057444345815279345838505356963299090428454226306996374295625 71595812775625237345522292159799791117613627629297394883233616902938448874500 -144738228758158608358912718707823669775 259
2261564242916331941866620800950935700259179388000792266395655937654553313279 361143134164850494172561065616259752963545106516732037168302183737985683175315 113013618255938758753562355534971780079907145229894780113603042227883902598184 9198195217921424525362104111558188182029 259
